feature,shap_LightGBM,shap_XGBoost,perm_LightGBM,perm_XGBoost
province,0.0975816022413291,0.24309760127172972,0.001241807214166002,0.01633170403639479
store_id,0.2991044232089631,0.5528475615086157,0.04912187507090167,0.10745661669217821
category,0.13477523266786115,0.13143752956869004,0.06115076439729243,0.059555047919736384
item_id,0.27139068447909165,0.2691509052915489,0.07845008549459802,0.10386804237923428
price,0.389663614871901,0.3849196403836173,0.11808981434250967,0.1223448996694465
base_price,0.058893946848881454,0.0644781721412674,0.017457954340578397,0.003865052664303015
is_promotion,0.5778887800982879,0.6912151660128961,0.13783679928618078,0.19395867857054655
discount_pct,0.3545072840418323,0.7123560198853118,0.12861607075646173,0.3535073356933651
temperature,0.11312592830856417,0.16243098594776734,0.023396102573829756,0.04049669986328901
humidity,0.02156961008554097,0.033497125651186926,-0.0008175441107802328,-0.007638077653221309
season,0.007329656727218664,0.014298425089190166,0.0004022505035939261,0.002237920242164648
temp_norm,0.01203522682756845,0.02752132796019472,-0.002159810966205278,0.004066994714737149
temp_anomaly,0.16989155217445936,0.20310307641548545,0.06376010859314576,0.06279858514309851
is_humid,0.0,0.009921576231193595,0.0,0.0
is_public_holiday,0.04323127112199745,0.05028168467615865,0.03524376698912039,0.047339552903175
holiday_name,0.04774600864588016,0.03728539142790336,0.018242468745520136,0.03791065916220333
is_school_holiday,0.08934387104139788,0.11383759976455657,0.008376906201899636,0.016770044938723493
days_to_holiday,0.029964561619215294,0.03196442619516194,0.0009983201000025588,0.007780420841390167
days_since_holiday,0.00853184068791188,0.03308935673985276,0.0003037188748617581,0.005799754333496487
promo_type,0.13087151423253582,0.07061831456465031,0.0331396227725282,0.02096632335186044
duration_days,0.04516791933131716,0.024046863278962567,0.01046904223880496,0.0032080893039706736
year,0.011315823898279636,0.015521070580925564,0.0,0.0
month,0.024384955351143288,0.029851739063788636,-0.00011751930089136664,0.001733827241262098
day,0.04375581365917227,0.0599024693389909,0.007799488026213197,0.00985665608804851
day_of_week,1.1247459185724238,1.2548962592288941,0.2790221233465964,0.3721413241606779
is_weekend,0.0,0.0,0.0,0.0
quarter,0.0,0.0,0.0,0.0
week_of_year,0.06387146450505346,0.09339193706405707,0.00969270049810902,-0.0013925556023911766
day_of_year,0.10475748786898931,0.07644861273854721,0.0025782651269068424,0.0027268623511000458
month_sin,0.08509169984599739,0.07569986671432562,0.0037347022581140977,0.0027759705702466776
month_cos,0.06750232941009832,0.09544819747124589,0.004351837330744068,0.002772169876098829
dow_sin,0.24446890887382267,0.1578846203891226,0.02649710511770458,0.003950599532145915
dow_cos,0.7491073733297421,0.6965648766978109,0.20508838050476452,0.1669435135078702
days_to_christmas,0.38333204370304275,0.34868936211797424,0.2673405723789937,0.21217121572573472
is_pre_holiday,0.00020302057720255107,0.0014584076330129406,-0.00015326323004103415,8.98164113358746e-06
temp_category,0.001190893365534976,0.0,0.00020490712242953179,0.0
humidity_level,2.185991089163506e-05,0.0,5.85743855925358e-06,0.0
heat_excess,0.0,0.0,0.0,0.0
cold_excess,0.006334821440471683,0.005536126556442467,0.0018273928964260833,-0.0013757392088569631
log_price_ratio,0.6284931118366841,0.3005484477881014,0.27492190833765984,0.11016064076260967
is_deep_discount,0.0,0.0,0.0,0.0
rival_discount_pct,0.012972367054597868,0.027431982254685554,-0.00102099973035088,0.0017059522684556682
sales_lag_1,0.2723358138668806,0.1948174896829325,0.0733179115405708,0.032878911273474996
sales_lag_7,0.0712228616636739,0.10081827573934082,0.02726875846539407,0.0211773576688584
sales_lag_14,0.11321635841342319,0.12597925694530038,0.02563838123951321,0.02765967805780658
sales_lag_28,0.31730542662970473,0.2670996147790884,0.0418513944857045,0.04360254078227417
sales_mean_7d,2.3796737438712987,2.5032776901662803,0.7779472869372841,0.7929478995833465
sales_min_7d,0.10652721734413773,0.12140897051353473,0.006546388525550562,0.0031375987052919994
sales_max_7d,0.05708291504072802,0.21215953169060728,-0.0007793942482553718,0.01948538801670079
sales_std_7d,0.09862687518064578,0.09986213403516196,0.03191421427210468,0.019489655025009787
sales_mean_14d,0.06134399378644795,0.16951343215439102,0.011874957729739144,0.009554009540876152
sales_min_14d,0.01994625507545531,0.04737415134852243,0.0019346143678854234,0.008676512384414891
sales_max_14d,0.035072077867999873,0.050600025068841085,0.0019120900669671315,0.012315898132324499
sales_std_14d,0.05270893162240536,0.06746563530847702,0.004010796305225916,0.01749844872551822
sales_mean_28d,2.9386454235211517,2.969308328943125,1.167631771428284,1.0889371671828147
sales_min_28d,0.24500331196139652,0.2928020260446749,0.036994558147860165,0.03345767383975122
sales_max_28d,0.007875908164296522,0.038415664108114506,-0.0013690352347436984,0.005222852087021224
sales_std_28d,0.24939133094321592,0.2915661141200056,0.07039076112305125,0.05775562153262222
sales_ewma_a05,1.9111249300956117,1.2340815509101817,0.5647295651951755,0.258568493279431
sales_ewma_a075,0.13588571437347682,0.13501566588808497,0.05016248846354081,0.050762996070696786
store_mean_7d,0.7319788202225389,0.682819310032131,0.16298345524405528,0.14584160525798814
item_mean_7d,4.696409825081756,5.492546876524234,2.674905912645144,3.4488552838005573
